Specie	Sample	Filter_1	Filter_2	Depth	Mapping_rate	Strandedness
C. lanatus	SRR3156558	passes the trimming step	used for transcript reconstruction	18100149/18100149	62.0551%	ISR
C. lanatus	SRR3156559	passes the trimming step	used for transcript reconstruction	21114624/21114624	60.766%	ISR
C. lanatus	SRR3156560	passes the trimming step	used for transcript reconstruction	19123242/19123242	60.3253%	ISR
C. lanatus	SRR3156561	passes the trimming step	used for transcript reconstruction	20180894/20180894	62.2182%	ISR
C. lanatus	SRR3156562	passes the trimming step	used for transcript reconstruction	16326887/16326887	63.2952%	ISR
C. lanatus	SRR3156563	passes the trimming step	used for transcript reconstruction	19121926/19121926	63.0583%	ISR
C. lanatus	SRR3156564	passes the trimming step	used for transcript reconstruction	18242350/18242350	60.7675%	ISR
C. lanatus	SRR3156565	passes the trimming step	used for transcript reconstruction	17301205/17301205	47.0741%	ISR
C. lanatus	SRR3156566	passes the trimming step	used for transcript reconstruction	16685522/16685522	51.3898%	ISR
C. lanatus	SRR3156567	passes the trimming step	used for transcript reconstruction	16359076/16359076	55.3935%	ISR
C. lanatus	SRR3156568	passes the trimming step	used for transcript reconstruction	15343746/15343746	58.2709%	ISR
C. lanatus	SRR3156569	passes the trimming step	used for transcript reconstruction	21568077/21568077	61.832%	ISR
C. lanatus	SRR3156570	passes the trimming step	used for transcript reconstruction	20099599/20099599	59.5309%	ISR
C. lanatus	SRR3156571	passes the trimming step	used for transcript reconstruction	20596858/20596858	61.5153%	ISR
C. lanatus	SRR3156572	passes the trimming step	used for transcript reconstruction	15682241/15682241	61.2999%	ISR
C. lanatus	SRR3535158	passes the trimming step	not used for transcript reconstruction	10614406	69.4563%	U
C. lanatus	SRR3535159	passes the trimming step	not used for transcript reconstruction	12273360	68.9096%	U
C. lanatus	SRR3535161	passes the trimming step	not used for transcript reconstruction	12218694	70.0273%	U
C. lanatus	SRR3535162	passes the trimming step	not used for transcript reconstruction	12782866	79.3356%	U
C. lanatus	SRR3535164	passes the trimming step	not used for transcript reconstruction	8992179	78.8342%	U
C. lanatus	SRR3535165	passes the trimming step	not used for transcript reconstruction	11982798	71.3901%	U
